m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Noble Court,3/10/2009,"5, h, Doneraile Court - Grey Dawn Grey, by Grindston",J. Sadler,"Bruised foot
",Finished first at 6-1 odds in the Joe Hernandez Stakes at Santa Anita on March 21,,,,,,,,,,,,,,,,,
Noble Sound,3/2/2009,"4, c, Vindication - Serena's Tune, by Mr. Prospector",T. Albertrani,"Injured frog
",Finished first at 9-10 odds in a 'n2x' optional claimer at Aqueduct on March 4,,,,,,,,,,,,,,,,,
Noble's Promise,11/2/2009,"2, c, Cuvee - The Devil's Trick, by Clever Trick",K. McPeek,Leg infection (missed workout),Finished third at 6-1 odds in the Grade 1 Breeders' Cup Juvenile at Oak Tree at Santa Anita on November 7,,,,,,,,,,,,,,,,,
North Rodeo,8/11/2009,"4, f, Stephen Got Even - Ecclesiastes, by Saint Ballado",B. Baffert,Welts or breaks in skin from whip abuse,Finished second at 9-1 odds in a 'n1x' optional claimer at Del Mar on August 29,,,,,,,,,,,,,,,,,
Not Macho Any More,8/20/2009,"2, c, Macho Uno - Kipper Quila, by Kipper Kelly",R. Violette Jr.,Hives,Finished second at 3-1 odds in the Grade 3 Sapling Stakes at Monmouth on September 5,,,,,,,,,,,,,,,,,
Notonthesamepage,12/27/2008,"3, c, Catienus - Blue Holiday, by Cure the Blues",W. Ward,Epiglottis,Finished first at 9-2 odds in the Spectacular Bid Stakes at Gulfstream on January 3,,,,,,,,,,,,,,,,,
Obrigado,1/21/2009,"6, g, Enrique - Banakill, by Funambule",N. Drysdale,"Bruised foot
",Finished eighth at 16-1 odds in the Grade 2 San Luis Obsipo Handicap at Santa Anita on February 22,,,,,,,,,,,,,,,,,
Ocean Colors,7/23/2008,"3, f, Orientate - Winning Colors, by Caro",S. Asmussen,"Muscle Spasms
",Finished fourth at 3-1 odds in a 'n1x' allowance at Keeneland on April 18,,,,,,,,,,,,,,,,,
One Caroline,6/4/2009,"4, f , Unbridled's Song - Powder, by Broad Brush",G. Arnold II,Undisclosed,Finished third at 8-5 odds in the Grade 2 Chilukki Stakes at Churchill Downs on November 7,,,,,,,,,,,,,,,,,
Opus A,9/25/2009,"2, f, Read the Footnotes - Lady Nelson, by Sea Hero",R. Violette Jr.,"Shin + Throat surgery
",Finished first at 5-2 odds in the East View Stakes at Aqueduct on December 6,,,,,,,,,,,,,,,,,
Ouchy Night,10/15/2008,"3, f, Cactus Ridge - Minetonightsfirst, by D'",T. Bush,"Right knee
",Finished second at 2-1 odds in a 'n1x' allowance at Aqueduct on April 8,,,,,,,,,,,,,,,,,
Our Edge,9/4/2009,"3, c, The Cliff's Edge - Cash the Flash, by Star de Naskra",N. Zito,Two grabbed quarters,Finished sixth at 9-2 odds in the Grade 2 Pennsylvania Derby at Philadelphia Park on September 7,,,,,,,,,,,,,,,,,
Papa Clem,7/11/2009,"3, c, Smart Strike - Miss Houdini, by Belong to Me",G. Stute,"Cuts on inside of leg
",Finished fourth at 10-1 odds in the Grade 1 Haskell Invitational at Monmouth on August 2,,,,,,,,,,,,,,,,,
Parabola,4/24/2009,"3, g, Trajectory - Flying Tabriz, by Turkoman",B. Minshall,"Bad reaction to Lasix
",Finished sixth at 15-1 odds in the Marine Stakes at Woodbine on May 16,,,,,,,,,,,,,,,,,
Parabola,4/24/2009,"3, g, Trajectory - Flying Tabriz, by Turkoman",B. Minshall,Infection,Finished seventh at 31-1 odds in the Charlie Barley Stakes at Woodbine on June 20,,,,,,,,,,,,,,,,,
Paso Doble,5/4/2009,"3, g, Bold n' Flashy - Dance Lessons, by Foxhound",A. Fehr,"Bled
",Finished first at 3-1 odds in a 'n3L' allowance at Woodbine on May 6,,,,,,,,,,,,,,,,,
Passager,6/24/2009,"6, g, Anabaa - Passionnee, by Woodman",R. Attfield,"Bruised foot
",Finished seventh at 8-1 odds in the Grade 2 Firecracker Handicap at Churchill on July 4,,,,,,,,,,,,,,,,,
Pasta Time,4/2/2009,"4, c, Time to Run - Sophie Dakota, by Mickey Mocha",E. Moger Jr.,"Crashed through rail, lacerations on left front leg
","Finished third at 6-1 odds in a $20,000 maiden claimer at Golden Gate on August 16",,,,,,,,,,,,,,,,,
Patch of Blue,2/19/2008,"5, h, Mr. Greeley - Blue Moon, by Lomitas",R. Mandella,"Sore
",Finished third at 11-1 odds in a 'n2x' allowance at Santa Anita on January 18,,,,,,,,,,,,,,,,,
Patena,3/10/2009,"3, c, Seeking the Gold - Handpainted, by A.P. Indy",R. Dutrow Jr.,Cough,Finished eighth at 4-1 odds in the Grade 2 Louisiana Derby at Fair Grounds on March 14,,,,,,,,,,,,,,,,,
Patena,4/16/2009,"3, c, Seeking the Gold - Handpainted, by A.P. Indy",R. Dutrow Jr./B. Lynch,"Ankle chip (surgery)
",Finished eighth at 5-2 odds in a 'n2x' optional claimer at Woodbine on November 22,,,,,,,,,,,,,,,,,
Peace Chant,3/11/2009,"6, h, War Chant - Safely Kept, by Horatius",D. O'Neill,"Shoulder
",Finished tenth at 15-1 odds in the Grade 1 Forego Stakes at Saratoga on September 5,,,,,,,,,,,,,,,,,
Pinckney Hill,5/18/2009,"3, r, A.P. Indy - Jemima, by Owington",A. Penna Jr.,"Adverse reaction to blistering solution 
",Finished first at 4-5 odds in a 'n1x' allowance at Belmont on May 20,,,,,,,,,,,,,,,,,
Pure Clan,10/6/2009,"4, f, Pure Prize - Gather the Clan, by General Assembly",R. Holthus,"""Tiny nick""",Finished second at 7-1 odds in the Breeders' Cup Filly and Mare Turf at Oak Tree on November 6,,,,,,,,,,,,,,,,,
Pyro,6/26/2009,"4, c, Pulpit - Wild Vision, by Wild Again",S. Asmussen/S. bin Suroor,"Knee chip (surgery)
",Finished second at 4-1 odds in the James Marvin Stakes at Saratoga on July 29,,,,,,,,,,,,,,,,,
Quality Road,2/16/2009,"3, c, Elusive Quality - Koba, by Strawberry Road",J. Jerkens,"Cough
",Finished first at 5-1 odds in the Grade 2 Fountain of Youth Stakes at Gulfstream on February 28,,,,,,,,,,,,,,,,,
Quality Road,,"3, c, Elusive Quality - Koba, by Strawberry Road",J. Jerkens/T. Pletcher,Quarter cracks,Finished first at 7-10 odds in the Grade 2 Amsterdam Stakes at Saratoga on August 3,,,,,,,,,,,,,,,,,
Queen Ofthe Catsle,11/4/2008,"5, m, Tale of the Cat - Kiawah Queen, by Lord At War",H. Zucker,"""Came back a little bruised up"" - H. Zucker
",Finished second at 2-1 odds in the Lawndale Stakes at Hollywood on May 15,,,,,,,,,,,,,,,,,
Quiet Alice,6/24/2009,"5, m, Quiet American - Darling Alice, by Northern Flagship",G. Arnold II,Injured,Finished fourth at 2-1 odds in a 'n1x' allowance at Churchill Downs on June 26,,,,,,,,,,,,,,,,,
Reba Is Tops,3/4/2009,"5, m, He's Tops - Miss Kyama, by Present Value",M. Glatt,"Illness
",Finished second at 13-1 odds in a 'n3x' allowance at Santa Anita on March 6,,,,,,,,,,,,,,,,,
Recapturetheglory,1/21/2009,"4, c, Cherokee Run - Cold Awakening, by Dehere",L. Roussel III,"Chipped knee (surgery)
",Finished third at 3-2 odds in a 'n2x' optional claimer at Fair Grounds on February 15,,,,,,,,,,,,,,,,,
Red Arrow,12/29/2009,"6, h, Red Ransom - Lady Jakeo, by Last Tycoon",J. Sadler,Sick,Finished sixth at 5-2 odds in a 'n3x' optional claimer at Santa Anita on December 31,,,,,,,,,,,,,,,,,
Red Tomatoes,10/20/2009,"4, f, Downtown Seattle - Tomato Paste, by Torsion",M. Jones,Hind end,Finished first at 10-1 odds in a 'n1x' optional claimer at Oak Tree on October 22,,,,,,,,,,,,,,,,,
Reflect Times,3/4/2008,"4, c, French Deputy - Franca, by Seeking the Gold",J. Shirreffs,"Breathing Disorder + Bone Chip Knee/Surgery
",Finished seventh at 40-1 odds in a 'n2x' optional claimer at Hollywood on May 25,,,,,,,,,,,,,,,,,
Regal Ransom,6/6/2009,"3, c, Distorted Humor - Kelli's Ransom, by Red Ransom",S. bin Suroor,"Soft-tissue tendon injury to right hind hock
",Finished first at 13-10 in the Grade 2 Super Derby at Louisiana Downs on September 19,,,,,,,,,,,,,,,,,
Restless Soul,7/24/2009,"5, m, Singspiel - Seasonal Splendour, by Prince Rupert",B. Cecil,Sick,Finished second at 5-1 odds in the Osunitas Stakes at Del Mar on July 26,,,,,,,,,,,,,,,,,
Retraceable,5/15/2009,"3, f, Medaglia d'Oro - Embraceable, by Dehere",M. Casse,"""I wasn't comfortable with the way she was moving..."" - M. Casse (5/17/09 - DRF)
",Finished third at 8-1 odds in the Alywow Stakes at Woodbine on June 7,,,,,,,,,,,,,,,,,
Reynaldothewizard,3/17/2009,"3, c, Speightstown - Holiday Runner, by Meadowlake",E. Harty,"Chipped ankle
",Finished fourth at 8-1 odds in the San Miguel Stakes at Santa Anita on March 28,,,,,,,,,,,,,,,,,
Rip Van Winkle,4/28/2009,"3, c, Galileo - Looking Back, by Stravinsky",A. O'Brien,Foot bruise (two setbacks) + Virus,Finished fourth at 9-2 odds in the Group 1 2000 Guineas at Newmarket on May 2,,,,,,,,,,,,,,,,,
Rip Van Winkle,9/24/2009,"3, c, Galileo - Looking Back, by Stravinsky",A. O'Brien,Undisclosed,Finished first at 3-5 odds in the Group 1 Queen Elizabeth II Stakes at Ascot on September 26,,,,,,,,,,,,,,,,,
Rip Van Winkle,9/24/2009,"3, c, Galileo - Looking Back, by Stravinsky","A. O'Brien
",Right hind foot,Finished tenth at 3-1 odds in the Grade 1 Breeders' Cup Classic at Oak Tree at Santa Anita on November 7,,,,,,,,,,,,,,,,,
Rising Moon,6/30/2008,"6, h, Runaway Groom - Beat, by Nijinsky II",R. Dutrow Jr.,"Bruise Left Front Foot
",Finished second at 2-1 odds in the Three Coins Up Stakes at Belmont on May 8,,,,,,,,,,,,,,,,,
Royal Oath,8/19/2008,"6, h, Kingmambo - Sherkiya, by Goldneyev",M. Casse,"Cracked pastern
",Finished sixth at 8-5 odds in a 'n3x' optional claimer at Woodbine on August 1,,,,,,,,,,,,,,,,,
Run It,7/1/2009,"3, c, Cherokee Run - Tracy, by Theatrical",D. Patterson,"Foot
",Finished seventh at 42-1 odds in a 'n3x' optional claimer at Oak Tree on November 5,,,,,,,,,,,,,,,,,
Saarlight,12/8/2009,"3, f, Saarland - Crystal Blaze, by Spectacular Bid",K. McLaughlin/A. Magnuson,"Moving a little ""scratchy"" - A. Magnuson (12/10/09 - DRF)",Finished first at 2-5 odds in a 'n2x' optional claimer at Aqueduct on December 10,,,,,,,,,,,,,,,,,
Saint Daimon,6/8/2008,"6, g, Saint Ballado - Daimon, by Strike Gold",S. Jerkens,"Heat Reaction
","Finished first at 9-1 odds in a $50,000 optional claimer at Aqueduct on January 17",,,,,,,,,,,,,,,,,
Sacred Kingdom,1/30/2009,"6, g, Encosta de Lago - Courtroom Sweetie, by Zeditave",P. Yiu,Sesamoid,Finished fourth at ??? odds in the Group 1 Centenary Sprint Cup at Sha Tin on February 1,,,,,,,,,,,,,,,,,
Sam P.,7/17/2009,"5, h, Cat Thief - Affirmed Legacy, by Affirmed",T. Pletcher/W. Bradley,"Tendon
",Finished seventh at 12-1 odds in a 'n3x' optional claimer at Churchill Downs on November 6,,,,,,,,,,,,,,,,,
Sand Cove,7/15/2009,"4, c, Bold Executive - Mythical Status, by Mythical Ruler",R. Attfield,"""He did something to himself in his stall..."" - R. Attfield (DRF - 7/17/09)
",Finished third at 5-1 odds in the Ontario Jockey Club Stakes at Woodbine on July 18,,,,,,,,,,,,,,,,,
Sapphire Sky,1/30/2009,"3, f, Sky Mesa - Charm Away, by Silver Charm",D. Donk,Fever,Finished second at 5-1 odds in the Wistful Stakes at Aqueduct on February 1,,,,,,,,,,,,,,,,,
Saratoga Russell,3/10/2008,"4, c, Trippi - Prologue, by Theatrical",R. Violette Jr.,"Displaced Palate - Myectomy
",Finished second at 7-5 odds in a 'n1x' allowance at Monmouth on June 28,,,,,,,,,,,,,,,,,
Saratoga Sinner,2/4/2009,"3, c, Harlan's Holiday - Naughty Linda, by Slew City Slew",E. Kenneally,"Chipped left knee (surgery)
",Finished sixth at 12-1 odds in the Grade 2 Jim Dandy Stakes at Saratoga on August 1,,,,,,,,,,,,,,,,,
Scrappy Roo,6/19/2008,"6, g, Roo Art - Dance's Lyph, by King Lyph",J. Locke,"Unspecified
","Finished tenth at 14-1 odds in a $30,000 optional claimer at Delta Downs on October 24",,,,,,,,,,,,,,,,,
Sea of Pleasure,4/2/2009,"4, c, Sea of Secrets - Doubleyourpleasure, by Double Negative",J. Mullins,"""Sore behind"" - J. Mullins (4/4/09 - DRF)
",Finished seventh at 5-2 odds in the Grade 2 Potrero Grande Handicap at Santa Anita on April 4,,,,,,,,,,,,,,,,,
Secret Gypsy,2/10/2009,"4, f, Sea of Secrets - Miss Utada, by Rahy",R. Werner,"Swollen pastern
",Finished first at 7-10 odds in the Grade 2 Distaff Handicap at Aqueduct on March 21,,,,,,,,,,,,,,,,,
Seminole Native,4/17/2008,"7, g, Lil Tyler - Lake Okeechobee, by Magic Prospect",J. Gutierrez,"Non-displaced condylar fracture hind leg
",Finished fifth at 48-1 odds in the Sunshine Millions Turf at Santa Anita on January 24,,,,,,,,,,,,,,,,,
Serenading,6/15/2009,"5, m, A.P. Indy - Daijin, by Deputy Minister",J. Carroll,"""she was very jarred up..."" - J. Carroll (DRF, 6/17)
",Finished fourth at 7-5 odds in the Hill 'n' Dale Stakes at Woodbine on June 20,,,,,,,,,,,,,,,,,
Shediak,3/22/2008,"4, c, Selkirk - Shemissa, by Fairy King",D. O'Neill,"""Ton of Mucus,"" Condylar Fracture Ankle (Two Screws, Surgery)
",Finished eighth at 6-1 odds in a 'n1x' allowance at Santa Anita on March 11,,,,,,,,,,,,,,,,,
She's Our Annie,12/16/2009,"3, f, Medaglia d'Oro - Girl Gone Crazy, by Roar",W. Fires,Foot abscess,Finished first at 11-10 odds in the Esplanade Stakes at Fair Grounds on December 19,,,,,,,,,,,,,,,,,
Shrewd Operator,5/12/2008,"5, g, Twining - Line Shot, by Caller I. D.",C. Block,"Injured
",Finished second at 9-10 odds in a 'n2x' allowance at Arlington on June 21,,,,,,,,,,,,,,,,,
Sidney's Candy,9/2/2009,"3, c, Candy Ride - Fair Exchange, by Storm Cat",J. Sadler,Two sore shins,Finished fourth at 3-5 odds in a 'n1x' allowance at Santa Anita on December 30,,,,,,,,,,,,,,,,,
Sierra Sunset,3/20/2008,"4, c, Bertrando - Toot Sweet, by Pirate's Bounty",J. Bonde,"Fracture Line Left Front Ankle (hyperbaric chamber)
",Finished ninth at 10-1 odds in the Grade 3 Ack Ack Handicap at Hollywood on June 6,,,,,,,,,,,,,,,,,
Silver City,12/30/2008,"3, c, Unbridled's Song - Proposal, by Mt. Livermore",W. Calhoun,"Foot
",Finished first at 3-5 odds in the Dixieland Stakes at Oaklawn on January 16,,,,,,,,,,,,,,,,,
Silver Swallow,10/30/2009,"5, m, Alphabet Soup - Topsom, by Red Ransom",B. Headley,Body sore,Finished sixth at 41-1 odds in the Grade 1 Breeders' Cup Filly and Mare Sprint at Oak Tree on November 6,,,,,,,,,,,,,,,,,
Sing Baby Sing,6/16/2009,"6, h, Unbridled's Song - Roll Over Baby, by Rollin On Over",J. Bruner,"Bone chip ankle (surgery) + Soft-tissue injury (small suspensory lesion, stem cell treatment)",Finished second at 3-1 odds in the Remington Park Sprint Cup at Remington on August 22,,,,,,,,,,,,,,,,,
Sir Dave,10/31/2009,"4, g, Untuttable - Queen Kaboom, by Sword Dance",J. Carava,"Entrapped epiglottis (surgery, missed six days)",DNF at 42-1 odds in the Breeders' Cup Marathon at Oak Tree at Santa Anita on November 6,,,,,,,,,,,,,,,,,
Siren Lure,6/9/2009,"8, g, Joyeux Danseur - Cantamar, by Gulch",A. Sherman/S. Sherman,"Infection, small puncture right hind leg
",Finished seventh at 27-1 odds in the Grade 1 Triple Bend Handicap at Hollywood on July 5,,,,,,,,,,,,,,,,,
Sixthirteen,3/24/2009,"5, h, Dixie Union - Mandy's Classic, by Sky Classic",M. Hushion,Popped splint bone foreleg,Finished fifth at 3-1 odds in a 'OPC-N' at Aqueduct on March 26,,,,,,,,,,,,,,,,,
Skylighter,9/10/2009,"4, f, Sky Mesa - Painted Lady, by Broad Brush",H. Motion,Multiple cuts hind leg,Finished fourth at 3-10 odds in the Grade 1 Ruffian Handicap at Belmont on September 12,,,,,,,,,,,,,,,,,
Sky Mystic,5/19/2008,"4, f, Sky Mesa - Delicacy, by Pleasant Colony",G. Gilchrist,"Broken pastern hind leg
",Finished sixth at 17-1 odds in the Campanile Stakes at Golden Gate on February 7,,,,,,,,,,,,,,,,,
Sligovitz,10/20/2009,"4, c, Sligo Bay - Ms. Deep Pockets, by Buckaroo",R. Attfield,Mucus in lungs,Finished third at 2-1 odds in the Chief Bearhart Stakes at Woodbone on October 25,,,,,,,,,,,,,,,,,
Smart Bid,11/5/2009,"3, c, Smart Strike - Recording, by Danzig",H. Motion,Bone chip ankle (surgery),Finished first at 13-1 odds in the Damascus Stakes at Oak Tree at Santa Anita on November 7,,,,,,,,,,,,,,,,,
Smooth Air,1/15/2009,"4, c, Smooth Jazz - Air France, by French Deputy",B. Stutts Jr.,"Mild setback (missed workout)
",Finished second at 7-5 odds in the Tallahassee Stakes at Gulfstream on February 7,,,,,,,,,,,,,,,,,
Smooth Air,4/24/2009,"4, c, Smooth Jazz - Air France, by French Deputy",B. Stutts Jr.,"Colic
",Finished second at 3-1 odds in the Grade 1 Metropolitan Handicap at Belmont on May 25,,,,,,,,,,,,,,,,,
Society Hostess,1/1/2009,"6, m, Seeking the Gold - Touch of Truth, by Storm Cat",C. Clement,"""...not the soundest filly...She ties up..."" - C. Clement",Finished seventh at 8-1 odds in the Grade 3 Monrovia Handicap at Santa Anita on January 3,,,,,,,,,,,,,,,,,
Someone to Love,11/9/2009,"2, f, One Way Love - Miss Daniela, by Fly So Free",R. Tiller,"""I didn't think she was quite right a few weeks ago..."" - R. Tiller (11/11/09 - DRF)",Finished fifth at 2-1 odds in the South Ocean Stakes at Woodbine on November 11,,,,,,,,,,,,,,,,,
Songster,11/26/2008,"6, h, Songandaprayer - Peppy Lapeau, by French Deputy",T. Albertrani,"Bruised left front foot + Quarter crack
",Finished seventh at 2-1 odds in a 'n1y' optional claimer at Delaware on July 4,,,,,,,,,,,,,,,,,
So N So,9/11/2009,"2, f, Freud - So Far So Good, by Distinctive Pro",T. Bush,Tender shins,Finished fourth at 11-10 odds in the New York Stallion Fifth Avenue Stakes at Aqueduct on November 15,,,,,,,,,,,,,,,,,
Soul Warrior,9/16/2009,"3, c, Lion Heart - Urmia, by Meadowlake",S. Asmussen,Temperature,Finished fourth at 9-2 odds in the Grade 2 Super Derby at Louisiana Downs on September 19,,,,,,,,,,,,,,,,,
South Easter,6/17/2009,"3, c, Galileo - Dance Treat, by Nureyev",W. Haggas,Coughing,Finished sixth at 7-2 odds in the Group 2 King Edward VII Stakes at Ascot on June 19,,,,,,,,,,,,,,,,,
Spice Route,8/12/2009,"5, g, King's Best - Zanzibar, by In the Wings",R. Attfield,Pulled back muscles (sent to farm for three weeks),Finished sixth at 15-1 odds in the Grade 1 Pattison Canadian International at Woodbine on October 17,,,,,,,,,,,,,,,,,
Spin Master,1/28/2009,"5, r, Distorted Humor - S. S. Miracle, by Seattle Slew",S. Klesaris,"""He's had issues..."" - S. Klesaris
",Finished third at 2-1 in a 'n3x' optional claimer at Fair Grounds on January 30,,,,,,,,,,,,,,,,,
Spotsgone,1/16/2009,"6, h, Bright Launch - Double's Lass, by Mr. Leader",W. Fires,Stress fracture,Finished third at 5-1 odds in an 'ANC' allowance at Oaklawn on January 18,,,,,,,,,,,,,,,,,
Spring House,4/15/2009,"7, g, Chester House - Spring Star, by Itajara",J. Canani,"Unable to get sufficient air
",Finished second at 5-1 odds in the Grade 2 San Juan Capistrano Invitational at Santa Anita on April 19,,,,,,,,,,,,,,,,,
Square Eddie,2/5/2009,"3, c, Smart Strike - Forty Gran, by El Gran Senor",D. O'Neill,"Stress fracture cannon bone left front leg (no surgery)
",Finished third at 7-5 odds in the Grade 2 Coolmore Lexington Stakes at Keeneland on April 18,,,,,,,,,,,,,,,,,
Square Eddie,4/28/2009,"3, c, Smart Strike - Forty Gran, by El Gran Senor",D. O'Neill,"Re-aggravated cannon bone injury with heat in shin (surgery, screw inserted, hyperbaric treatment)",Finished sixth at 11-1 odds in the Grade 1 Ancient Title Stakes at Oak Tree at Santa Anita on October 11,,,,,,,,,,,,,,,,,
S. S. Stone,8/29/2008,"3, c, Birdstone - Sing and Swing, by Dixieland Band",D. O'Neill,"Bruised foot
",Finished ninth at 3-1 odds in a 'n1x' allowance at Hollywood on July 5,,,,,,,,,,,,,,,,,
Starbird Road,7/7/2009,"8, g, Count the Time - Mia F Eighteen, by Tough Knight",L. Ross,"Foot
","Finished second at 5-2 odds in a $40,000 optional claimer at Emerald on July 25",,,,,,,,,,,,,,,,,
Stardom Bound,9/17/2009,"3, f, Tapit - My White Corvette, by Tarr Road",R. Dutrow Jr.,Hind-end issues,Finished fifth at 2-1 odds in the Grade 1 Gazelle Stakes at Aqueduct on November 28,,,,,,,,,,,,,,,,,
Star Over Malibu,3/25/2009,"4, f, Malibu Moon - Startarette, by Dixieland Band",T. Amoss,"""got a little funny in the way she was going.  She needed time."" - T. Amoss (3/25/09 DRF)","Finished fourth at 9-1 odds in a $40,000 optional claimer at Fair Grounds on March 27",,,,,,,,,,,,,,,,,
Star Redeemer,4/23/2009,"3, c, Valid Wager - Hoist the Star, by Broad Brush",J. Sadler,Bled,Finished eighth at 8-1 odds in the NTRA Stakes at Hollywood on April 25,,,,,,,,,,,,,,,,,
Stella Mark,7/16/2008,"5, g, Benchmark - Social Savvy, by Deputy Minister",T. West,"Strained ligament
",Finished ninth at 5-1 odds in the Tiznow Stakes at Hollywood on April 25,,,,,,,,,,,,,,,,,
Sterwins,7/9/2008,"6, g, Runaway Groom - Sweet Vale, by Wild Again",M. Pierce,"Sore
",Finished second at 3-2 odds in a 'n1Y' allowance at Fair Grounds on February 20,,,,,,,,,,,,,,,,,
Stimulus Plan,12/30/2008,"3, c, Jump Start - Dutchess Alexandra, by Judge Smells",M. Casse,"Fracture line right hind pastern (surgery)
",Finished sixth at 3-1 odds in a 'n1x' allowance at Woodbine on July 11,,,,,,,,,,,,,,,,,
Storm Play,4/27/2009,"4, c, Smart Strike - Cat Play, by Storm Cat",J. Jerkens/T. Pletcher,"Chip knee (surgery)
",Finished fourth at 7-5 odds in a 'n3x optional claimer at Belmont on September 18,,,,,,,,,,,,,,,,,
Strike the Deal,11/5/2009,"4, c, Van Nistelrooy - Countess Gold, by Mt. Livermore",J. Noseda,Foot issues,Finished fourteenth at 20-1 odds in the Breeders' Cup Turf Sprint at Oak Tree at Santa Anita on November 7,,,,,,,,,,,,,,,,,
Striking Dancer,3/23/2009,"3, f, Smart Strike - Dancing Shoes, by Danehill",K. McPeek,"Undisclosed
",Finished fifth at 4-1 in the John Hettinger Stakes at Saratoga on August 8,,,,,,,,,,,,,,,,,
St Trinians,12/1/2009,"4, f, Piccolo - Cherrycombe-Row, by Classic Cliche",M. Mitchell,Ankle (no surgery),Finished first at 4-5 odds in a 'n2x' allowance at Hollywood on December 3,,,,,,,,,,,,,,,,,
Stuck in Traffic,8/29/2008,"4, c, Kiridashi - Deadlock, by Regal Classic",N. Gonzalez,"Infection, Lung infections
",Finished seventh at 3-1 odds in an 'ANC' allowance at Woodbine on April 5,,,,,,,,,,,,,,,,,
Stud Muffin,10/22/2009,"5, h, Raffie's Majesty - Saratoga Princess, by Seattle Dancer",D. Duggan,"Torn frog right front foot
",Finished sixth at 12-1 odds in the Grade 3 Queens County Handicap at Aqueduct on December 12,,,,,,,,,,,,,,,,,
Stylish Citizen,9/25/2009,"3, c, Proud Citizen - Informative Style, by Dayjur",J. Ross,Front foot,Finished seventh at 7-1 odds in the Ontario Derby at Woodbine on September 27,,,,,,,,,,,,,,,,,
Sunshine for Life,10/19/2009,"5, m, Giant's Causeway - Million Stories, by Exclusive Native",R. Schosberg,Knot on vocal cords hindered breathing (no surgery),Finished fourth at 8-1 odds in the Grade 3 Athenia Stakes at Belmont on October 21,,,,,,,,,,,,,,,,,
Superior Storm,7/30/2009,"4, f, Stormy Atlantic - Alittlebitsuperior, by Total Departure",R. Jackson,"Tied up (missed a workout)
",Finished first at 1-5 odds in the Louisiana Cup Distaff at Louisiana Downs on August 1,,,,,,,,,,,,,,,,,
Superior Storm,8/7/2009,"4, f, Stormy Atlantic - Alittlebitsuperior, by Total Departure",R. Jackson,"Elevated enzyme count
",Finished seventh at 28-1 odds in the Grade 1 First Lady Stakes at Keeneland on October 10,,,,,,,,,,,,,,,,,
Supreme Summit,5/16/2009,"3, c, Cactus Ridge - Studentoftheweek, by Sunny Clime",D. O'Neill,"""a little jarred up"" - D. O'Neill (5/15/09 DRF)
",Finished second at 5-2 odds in a 'n2x' optional claimer at Del Mar on September 9,,,,,,,,,,,,,,,,,
Sweet Hearth,10/29/2009,"3, f, Touch Gold - Sweet Gold, by Gilded Time",A. de Royer-Dupre,"Scoped badly
",Finished ninth at 25-1 odds in the Group 1 Cathay Pacific Hong Kong Mile at Sha Tin on December 13,,,,,,,,,,,,,,,,,
Take the Points,8/31/2009,"3, c, Even the Score - Ginger Ginger, by Fred Astaire",T. Pletcher,"Temperature
",Finished first at 5-2 odds in the Grade 1 Jamaica Handicap at Belmont on October 10,,,,,,,,,,,,,,,,,
Target Sighted,1/30/2009,"3, g, Not For Love - Cranberry Muffin, by Shelter Half",F. Campitelli,"Gashed leg prior to 2007 yearling sale
",Finished fourth at 5-1 odds in a maiden special weight at Delaware Park on May 26,,,,,,,,,,,,,,,,,
Tax Man,2/18/2009,"4, g, Broad Brush - Charitabledonation, by Saint Ballado",J. Jerkens,"Knee chip (surgery)
",Finished sixth at 5-2 odds in a 'n2L' allowance at Aqueduct on February 20,,,,,,,,,,,,,,,,,
Teacher Teacher,5/7/2009,"2, f, Swiss Yodeler - Self Taught, by Cee's Tizzy",M. Harrington ,"Minor injury
",Finished second at 14-1 odds in a maiden special weight at Hollywood on November 15,,,,,,,,,,,,,,,,,
Terrain,1/27/2009,"3, g, Sky Mesa - Minery, by Forty Niner",A. Stall Jr.,"Sick
",Finished third at 8-1 odds in the Grade 2 Louisiana Derby at Fair Grounds on March 14,,,,,,,,,,,,,,,,,
The Nutz,6/12/2009,"5, g, Chester House - Noble Stork, by Seattle Slew",S. Hall,Foot abscess,Finished third at 3-10 odds in the President's Cup Stakes at Fonner on June 14,,,,,,,,,,,,,,,,,
Theregoesjojo,1/31/2009,"3, c, Brahms - Slewie Blews, by Seattle Slew",K. McPeek,"Lung infection
",Finished second at 9-2 odds in the Grade 2 Fountain of Youth Stakes at Gulfstream on February 28,,,,,,,,,,,,,,,,,
Theregoesjojo,4/13/2009,"3, c, Brahms - Slewie Blues, by Seattle Slew",K. McPeek,"Stifle + Fractured skull (recovering at Rood and Riddle)
",Finished third at 3-10 in the Prairie Meadows Derby at Prairie Meadows on September 19,,,,,,,,,,,,,,,,,
The Roundhouse,10/12/2007,"4, c, Fusaichi Pegasus - Circle of Life, by Belong to Me",T. Pletcher,"Sore Shins, Popped Splint + Saucer Fracture + Complications from surgery
",Finished third at 5-1 odds in a 'n2L' allowance at Gulfstream on February 13,,,,,,,,,,,,,,,,,
Theycallmeladyluck,3/23/2009,"4, f, Dixie Union - Vegas Prospector, by Crafty Prospector",K. Von Hemel,"Physical setbacks
",Finished second at 3-2 odds in a 'n1x' allowance at Oaklawn on March 25,,,,,,,,,,,,,,,,,
