Winning Horse Name,Sire Name,Race Date,Track,Purse,Race Name,Grade,"Speed
Rating","Class 
Rating",,,,
Who's Catty,Tactical Cat,05-09-15,Horsemen's Park,"$30,000",Fantango Lady S.,,67,107.5,,,,
Stallwalkin' Dude,City Place,05-10-15,Belmont Park,"$100,000",Diablo S.,,100,120.5,,,,
Kentuckian,Tiznow,05-10-15,Santa Anita Park,"$100,000",Lazaro Barrera S.,3,100,121.1,,,,
Kikisoblu,Kodiak Kowboy,05-10-15,Emerald Downs,"$50,000",Hastings H.,,99,118.2,,,,
Paso Doble,Bold N' Flashy,05-10-15,Woodbine,"$125,000",New Providence S.,,96,118.2,,,,
Diamond Joe,Dazzling Falls,05-10-15,Horsemen's Park,"$30,000",Who Doctor Who H.,,93,116.7,,,,
Sky Preacher,Sky Mesa,05-10-15,Golden Gate Fields,"$75,000",Alcatraz S.,,89,116,,,,
Commissioner,A.P. Indy,05-15-15,Pimlico,"$300,000",Pimlico Special S.,3,107,122.3,,,,
Ben's Cat,Parker's Storm Cat,05-15-15,Pimlico,"$100,000",Jim McKay Turf Sprint S.,,98,120.1,,,,
Stopchargingmaria,Tale of the Cat,05-15-15,Pimlico,"$150,000",Allaire DuPont Distaff S.,3,97,121.6,,,,
Keen Pauline,Pulpit,05-15-15,Pimlico,"$250,000",Black-Eyed Susan S.,2,97,119.8,,,,
Irish Jasper,First Defence,05-15-15,Pimlico,"$150,000",Miss Preakness S.,3,94,120.4,,,,
Miss Temple City,Temple City,05-15-15,Pimlico,"$100,000",Hilltop S.,,93,117.7,,,,
Galiana,Stonesider,05-15-15,Pimlico,"$100,000",Skipat S.,,93,120.7,,,,
Bourbon County,Dehere,05-15-15,Canterbury Park,"$60,000",Lakes S.,,87,117.5,,,,
Fame and Power,First Defence,05-16-15,Pimlico,"$100,000",Sir Barton S.,,108,119.9,,,,
Holy Boss,Street Boss,05-16-15,Pimlico,"$100,000",Chick Lang S.,,106,120.3,,,,
Woodwin W,More Than Ready,05-16-15,Pimlico,"$100,000",James W. Murphy S.,,102,117.7,,,,
Sandbar,War Pass,05-16-15,Pimlico,"$150,000",Maryland Sprint H.,3,101,119.4,,,,
La Verdad,Yes It's True,05-16-15,Belmont Park,"$150,000",Vagrancy H.,3,100,122.6,,,,
American Pharoah,Pioneerof the Nile,05-16-15,Pimlico,"$1,500,000",Preakness S.,,100,124.5,,,,
Fantastic Style,Harlan's Holiday,05-16-15,Santa Anita Park,"$75,000",Angels Flight S.,,98,119.4,,,,
Winning Cause,Giant's Causeway,05-16-15,Monmouth Park,"$100,000",Red Bank S.,3,97,118.9,,,,
Ironicus,Distorted Humor,05-16-15,Pimlico,"$300,000",Dixie S.,2,96,120.9,,,,
Ageless,Successful Appeal,05-16-15,Pimlico,"$100,000",The Very One S.,,96,117.9,,,,
Watsdachances (IRE),Diamond Green (FR),05-16-15,Pimlico,"$150,000",Gallorette H.,3,93,119.4,,,,
Courtesan,Street Sense,05-16-15,Churchill Downs,"$65,000",Keertana S.,,93,119,,,,
Celestine,Scat Daddy,05-16-15,Belmont Park,"$100,000",Wait a While S.,,93,117.6,,,,
Dirt Monster,Line of David,05-16-15,Albuquerque,"$55,000",Duke City Sprint S.,,90,115.1,,,,
Little Michelle,Tiz Wonderful,05-16-15,Gulfstream Park,"$60,000",Gracie H.,,89,115.5,,,,
Polar Plunge,Successful Appeal,05-16-15,Canterbury Park,"$60,000",Lady Slipper S.,,87,113.5,,,,
Shaman Ghost,Ghostzapper,05-16-15,Woodbine,"$150,000",Marine S.,3,87,116.3,,,,
Rock and Glory,Rock Hard Ten,05-16-15,Northlands Park,"$50,000",Wild Rose H.,,86,117.1,,,,
Jac's Fact,Kentucky Dane,05-16-15,Thistledown,"$75,000",Michael F. Rowland Memorial H.,,79,113.1,,,,
Fleet Eagle,Don't Get Mad,05-17-15,Emerald Downs,"$50,000",Governor's H.,,99,120.1,,,,
Black Hornet,Pioneering,05-17-15,Woodbine,"$150,000",Vigil S.,3,96,120,,,,
Bold Cait,Sun King,05-17-15,Belterra Park,"$75,000",Tomboy S.,,82,115.8,,,,
Killin Me Smalls,Marcavelly,05-18-15,Northlands Park,"$50,000",Journal H.,,97,120,,,,
I'm a Kittyhawk,Tomahawk,05-18-15,Woodbine,"$125,000",Ballade S.,,95,116.9,,,,
Mr. Bowling,Istan,05-18-15,Hastings Racecourse,"$50,000",John Longden 6000 S.,,95,118.4,,,,
Hollywood Miss,Second in Command,05-18-15,Hastings Racecourse,"$50,000",Strawberry Morn S.,,88,117.8,,,,
Cyclogenisis,Stormy Atlantic,05-18-15,Presque Isle Downs,"$100,000",Tom Ridge S.,,86,115.9,,,,
Sea Shadow,Jump Start,05-20-15,Delaware Park,"$50,000",Winter Melody S.,,95,119.9,,,,
Birdlover (GB),Byron (GB),05-22-15,Santa Anita Park,"$75,000",Mizdirection S.,,99,119.4,,,,
Eustacia,Forestry,05-22-15,Northlands Park,"$50,000",Chariot Chaser H.,,94,117.2,,,,
Red Vine,Candy Ride (ARG),05-23-15,Monmouth Park,"$75,000",Majestic Light S.,,107,123.8,,,,
Bobcat Jim,Sharp Humor,05-23-15,Prairie Meadows,"$75,000",Ed Skinner Memorial S.,,102,120.6,,,,
Donita's Ruler,Roman Ruler,05-23-15,Parx Racing,"$75,000",My Juliet S.,,101,120,,,,
Sky Treasure,Sky Mesa,05-23-15,Woodbine,"$200,000",Nassau S.,2,99,119.3,,,,
Xtra Luck,Exchange Rate,05-23-15,Churchill Downs,"$100,000",Louisville H.,3,95,119.8,,,,
Sheer Pleasure,Birdonthewire,05-23-15,Santa Anita Park,"$200,000",Melair S.,,95,119.5,,,,
Sunday Rules,Tribal Rule,05-23-15,Santa Anita Park,"$150,000",Spring Fever S.,,94,119.6,,,,
Motown Men,Decarchy,05-23-15,Santa Anita Park,"$150,000",Tiznow S.,,94,119.5,,,,
Sweet Basil,Pulpit,05-23-15,Gulfstream Park,"$60,000",Alachua H.,,91,118,,,,
African Rose,Bwana Charlie,05-23-15,Albuquerque,"$55,000",Albuquerque Distaff H.,,91,118.7,,,,
A Lot,Tapit,05-23-15,Belmont Park,"$100,000",Paradise Creek S.,,91,117.5,,,,
Get the Sensation,Not for Love,05-23-15,Charles Town,"$50,000",Fancy Buckles S.,,90,115.2,,,,
Z Smoking Gun,Zensational,05-23-15,Arapahoe Park,"$40,000",Inaugural S.,,90,113.6,,,,
Yucca,Cactus Ridge,05-23-15,Prairie Meadows,"$50,000",Prairie Rose S.,,90,117.7,,,,
Go West Marie,Western Fame,05-23-15,Santa Anita Park,"$125,000",Fran's Valentine S.,,88,118.5,,,,
Blue Dancer,Bluegrass Cat,05-23-15,Northlands Park,"$50,000",Western Canada H.,,87,115.1,,,,
Neveradoubt,Decarchy,05-23-15,Santa Anita Park,"$200,000",Snow Chief S.,,86,117.6,,,,
Stiffed,Stephen Got Even,05-24-15,Monmouth Park,"$75,000",Monmouth Beach S.,,101,121.3,,,,
Wally Van,Crafty Shaw,05-24-15,Arapahoe Park,"$40,000",Arapahoe Park Sprint S.,,89,113.8,,,,
Fooled Again,Scat Daddy,05-24-15,Emerald Downs,"$50,000",Auburn H.,,88,115.6,,,,
Ashleyluvssugar,Game Plan,05-24-15,Santa Anita Park,"$200,000",Charles Whittingham S.,2,86,120,,,,
Ol' Fashion Gal,Sky Mesa,05-24-15,Woodbine,"$150,000",Selene S.,3,82,115.9,,,,
Empire Dreams,Patriot Act,05-25-15,Belmont Park,"$200,000",Commentator S.,,101,118.8,,,,
Quezon,Tiz Wonderful,05-25-15,Belmont Park,"$125,000",Bouwerie S.,,99,121.4,,,,
Lubash,Freud,05-25-15,Belmont Park,"$125,000",Kingston S.,,99,120.2,,,,
Majestic City,City Zip,05-25-15,Lone Star Park,"$200,000",Lone Star Park H.,3,98,119.4,,,,
Morning Calm,Broken Vow,05-25-15,Gulfstream Park,"$60,000",Raymond Earl H.,,98,117.9,,,,
Distinctiv Passion,With Distinction,05-25-15,Santa Anita Park,"$100,000",Los Angeles S.,3,97,118.8,,,,
Invading Humor,Invasor (ARG),05-25-15,Belmont Park,"$125,000",Mount Vernon S.,,97,117.4,,,,
Sheriffa,Posse,05-25-15,Belmont Park,"$200,000",Critical Eye S.,,96,120.5,,,,
Hard Not to Like,Hard Spun,05-25-15,Santa Anita Park,"$300,000",Gamely S.,1,96,119.6,,,,
Street Story,Street Cry (IRE),05-25-15,Churchill Downs,"$100,000",Winning Colors S.,3,96,120.7,,,,
Diva's Diamond,Crafty Shaw,05-25-15,Prairie Meadows,"$50,000",Wild Rose S.,,95,118.9,,,,
Jessica's Star,Magna Graduate,05-25-15,Prairie Meadows,"$75,000",Jim Rasmussen Memorial S.,,94,118.8,,,,
Ostrolenka,Musket Man,05-25-15,Belmont Park,"$125,000",Mike Lee S.,,94,118.4,,,,
More Than Even,Stephen Got Even,05-25-15,Will Rogers Downs,"$55,000",RPDC Classic Distaff S.,,94,115.7,,,,
G. G. Ryder,Chhaya Dance,05-25-15,Golden Gate Fields,"$100,000",All American S.,3,93,119.5,,,,
Kenzadargent (FR),Kendargent (FR),05-25-15,Monmouth Park,"$75,000",Miss Liberty S.,,92,119.1,,,,
El Seventyseven,Stormy Atlantic,05-25-15,Canterbury Park,"$75,000",Honor the Hero S.,,89,117,,,,
A J Marie,Songandaprayer,05-25-15,Arapahoe Park,"$40,000",Ingrid Knotts S.,,88,115.1,,,,
Bright Town,Speightstown,05-25-15,Ruidoso Downs,"$50,000",First Lady H.,,84,119.2,,,,
Fatal Sting,For Glory,05-26-15,Will Rogers Downs,"$55,000",Cherokee Nation Classic Cup S.,,95,118.7,,,,
Street of Gold,Street Sense,05-29-15,Gulfstream Park,"$60,000",Amelia Island H.,,90,119.1,,,,
Colerful Bride,Munnings,05-29-15,Prairie Meadows,"$69,566",Bob Bryant S.,,84,114.9,,,,
Dubai Kowboy,Kodiak Kowboy,05-29-15,Prairie Meadows,"$69,816",Gray's Lake S.,,82,112.9,,,,
Golden Lad,Medaglia d'Oro,05-30-15,Penn National,"$200,000",Mountainview H.,,107,124.6,,,,
Catch a Flight (ARG),Giant's Causeway,05-30-15,Santa Anita Park,"$200,000",Californian S.,2,103,121.9,,,,
Flutterby,Congrats,05-30-15,Gulfstream Park,"$60,000",Sea Lily H.,,102,121.7,,,,
Amelia's Wild Ride,D'wildcat,05-30-15,Penn National,"$150,000",Pennsylvania Governor's Cup S.,,101,119.3,,,,
Hillbilly Royalty,Langfuhr,05-30-15,Prairie Meadows,"$75,000",Prairie Mile S.,,99,118.6,,,,
Saucy Don,Don Six,05-30-15,Monmouth Park,"$60,000",John J. Reilly H.,,97,117.8,,,,
The Pizza Man,English Channel,05-30-15,Churchill Downs,"$65,000",Opening Verse S.,,96,120.2,,,,
Lockout,Limehouse,05-30-15,Woodbine,"$200,000",Connaught Cup S.,2,95,119,,,,
Cara Marie,Unbridled's Song,05-30-15,Indiana Grand,"$75,000",Indy Star S.,,94,116.7,,,,
Alsvid,Officer,05-30-15,Churchill Downs,"$100,000",Aristides S.,3,93,122.4,,,,
Sarah Sis,Sharp Humor,05-30-15,Prairie Meadows,"$75,000",Panthers S.,,92,117.8,,,,
Royal Renege,Broken Vow,05-30-15,Penn National,"$75,000",Lyphard S.,,91,117.5,,,,
Force the Pass,Speightstown,05-30-15,Penn National,"$500,000",Penn Mile S.,3,90,116.6,,,,
Divisidero,Kitten's Joy,05-30-15,Belmont Park,"$200,000",Pennine Ridge S.,,90,117.5,,,,
Spanish Queen,Tribal Rule,05-30-15,Santa Anita Park,"$400,000",American Oaks,1,87,118,,,,
Strict Compliance,Into Mischief,05-30-15,Penn National,"$150,000",Penn Oaks,,86,116.4,,,,
Crittenden,Distorted Humor,05-30-15,Indiana Grand,"$75,000",P D J F S.,,83,116.6,,,,
Little Miss Lupe,Salute the Sarge,05-30-15,Finger Lakes,"$50,000",Susan B. Anthony S.,,81,115.7,,,,
Oliver's Tale,E Dubai,05-31-15,Santa Anita Park,"$75,000",Siren Lure S.,,93,118.2,,,,
More Than a Party,More Than Ready,05-31-15,Monmouth Park,"$60,000",Open Mind H.,,88,116.2,,,,
Gliding Alone,Quien,05-31-15,Belterra Park,"$75,000",Green Carpet S.,,86,114.8,,,,
Galina Point,Saffir,05-31-15,Woodbine,"$125,000",Lady Angela S.,,85,117.2,,,,
Deb's Wildcard,Desert Code,05-31-15,Emerald Downs,"$50,000",Seattle H.,,85,115.1,,,,
Lady Eli,Divine Park,05-31-15,Belmont Park,"$200,000",Wonder Again S.,,84,118.1,,,,
White Clover,Exchange Rate,06-03-15,Delaware Park,"$50,000",Our Mims S.,,92,117.8,,,,
Zindaya,More Than Ready,06-04-15,Belmont Park,"$150,000",Intercontinental S.,,96,119.2,,,,
Moment Is Right,Medaglia d'Oro,06-04-15,Belmont Park,"$250,000",Astoria S.,,82,116.1,,,,
Rock Fall,Speightstown,06-05-15,Belmont Park,"$250,000",True North S.,2,105,123.8,,,,
Cavorting,Bernardini,06-05-15,Belmont Park,"$150,000",Jersey Girl S.,,100,120.6,,,,
Frisky Warrior,Desert Warrior,06-05-15,Finger Lakes,"$50,000",George W. Barker S.,,97,120.4,,,,
Innovation Economy,Dynaformer,06-05-15,Belmont Park,"$250,000",Belmont Gold Cup Invitational S.,,96,121.7,,,,
Waltzing Matilda (IRE),Danehill Dancer (IRE),06-05-15,Belmont Park,"$300,000",New York S.,2,92,119.5,,,,
Cocked and Loaded,Colonel John,06-05-15,Belmont Park,"$250,000",Tremont S.,,89,119.1,,,,
Honor Code,A.P. Indy,06-06-15,Belmont Park,"$1,250,000",Metropolitan H.,1,110,125.3,,,,
American Pharoah,Pioneerof the Nile,06-06-15,Belmont Park,"$1,500,000",Belmont S.,1,109,123.1,,,,
Coach Inge,Big Brown,06-06-15,Belmont Park,"$400,000",Brooklyn Invitational S.,2,107,124.2,,,,
Slumber (GB),Cacique (IRE),06-06-15,Belmont Park,"$1,000,000",Manhattan S.,1,104,121.8,,,,
Wedding Toast,Street Sense,06-06-15,Belmont Park,"$1,000,000",Ogden Phipps S.,1,104,123.6,,,,
Tepin,Bernstein,06-06-15,Belmont Park,"$700,000",Just a Game S.,1,102,120.8,,,,
March,Blame,06-06-15,Belmont Park,"$500,000",Woody Stephens S.,2,101,121.3,,,,
Curalina,Curlin,06-06-15,Belmont Park,"$750,000",Acorn S.,1,98,122.4,,,,
Mystery Train (ARG),Not for Sale (ARG),06-06-15,Evangeline Downs,"$100,000",Evangeline Mile S.,,97,120.7,,,,
Channel Marker,Purim,06-06-15,Belmont Park,"$300,000",Jaipur Invitational S.,3,97,120.7,,,,
Grande Shores,Black Mambo,06-06-15,Gulfstream Park,"$60,000",Parrot Key S.,,97,119.7,,,,
Huasca,Tiz Wonderful,06-06-15,Gulfstream Park,"$60,000",Tangelo H.,,96,121,,,,
Pender Harbour,Philanthropist,06-06-15,Woodbine,"$125,000",Steady Growth S.,,95,118.8,,,,
Kiss Moon,Malibu Moon,06-06-15,Churchill Downs,"$100,000",Old Forester Mint Julep H.,3,94,119.2,,,,
Az Ridge,Toccet,06-06-15,Canterbury Park,"$75,000",Brooks Fields S.,,93,117.8,,,,
Patriots Rule,Tribal Rule,06-06-15,Santa Anita Park,"$100,000",Crystal Water S.,,93,118.6,,,,
R Free Roll,Rockport Harbor,06-06-15,Gulfstream Park,"$60,000",Tiger Lily H.,,93,117.2,,,,
Stoupinator,Stormy Atlantic,06-06-15,Canterbury Park,"$75,000",Minnesota H. B. P. A. Distaff S.,,92,117,,,,
Japan,Medaglia d'Oro,06-06-15,Belmont Park,"$150,000",Winstar Farm Easy Goer S.,,92,116.9,,,,
Lady Shipman,Midshipman,06-06-15,Monmouth Park,"$60,000",Crank It Up S.,,91,117.6,,,,
Mobile Bay,Lone Star Special,06-06-15,Evangeline Downs,"$70,000",Lafayette S.,,91,116.6,,,,
Blazing Bling,Too Much Bling,06-06-15,Thistledown,"$75,000",Michael G. Mackey Memorial Angenora S.,,90,115.5,,,,
Thiscatcanjam,Big Top Cat,06-06-15,Evangeline Downs,"$70,000",Acadiana S.,,88,116.4,,,,
Warriorscmoutoplay,Warrior's Reward,06-06-15,Parx Racing,"$75,000",Jostle S.,,88,117,,,,
Pain and Misery,Bob and John,06-06-15,Albuquerque,"$55,000",Charles Taylor Derby,,83,114.5,,,,
Quatre Cat,Abraaj,06-06-15,Hastings Racecourse,"$50,000",Emerald Downs H.,,75,112.1,,,,
Bluegrass Angus,Bluegrass Cat,06-06-15,Hastings Racecourse,"$50,000",River Rock Casino H.,,75,116.2,,,,
Requite,Warrior's Reward,06-07-15,Gulfstream Park,"$60,000",Big Cypress H.,,104,119.6,,,,
Dreamsgonewild,Freud,06-07-15,Monmouth Park,"$60,000",John McSorley S.,,102,117,,,,
Gimme Da Lute,Midnight Lute,06-07-15,Santa Anita Park,"$100,000",Affirmed S.,3,101,118.9,,,,
Are You Kidding Me,Run Away and Hide,06-07-15,Woodbine,"$200,000",Eclipse S.,2,97,118.9,,,,
Gaga A (URU),T. H. Approval,06-07-15,Santa Anita Park,"$75,000",Possibly Perfect H.,,93,118.6,,,,
Triple Threat (FR),Monsun (GER),06-07-15,Monmouth Park,"$200,000",Monmouth S.,2,88,119.9,,,,
Kikisoblu,Kodiak Kowboy,06-07-15,Emerald Downs,"$50,000",Washington State Legislators H.,,85,118.4,,,,
Modern,Tiznow,06-07-15,Hastings Racecourse,"$50,000",Sir Winston Churchill H.,,79,117.9,,,,
Arabella's Muse,Finality,06-07-15,Hastings Racecourse,"$50,000",Vancouver Sun H.,,78,117.5,,,,
Theatre Star,War Front,06-10-15,Delaware Park,"$50,000",Justakiss S.,,95,117.1,,,,
Fasnacloich,Any Given Saturday,06-10-15,Delaware Park,"$50,000",Justakiss S.,,94,120.3,,,,
Son of a Nut,Unbridled Express,06-10-15,Indiana Grand,"$85,000",Sagamore Sired S.,,90,116.3,,,,
Nevertoomanykisses,Checklist,06-10-15,Indiana Grand,"$85,000",Swiftly Sired Fillies S.,,83,115,,,,
Fast Anna,Medaglia d'Oro,06-11-15,Gulfstream Park,"$60,000",Sawgrass H.,,83,114.6,,,,
Amplified,Smarty Jones,06-12-15,Penn National,"$75,000",Danzig S.,,101,118.3,,,,
Rock and Glory,Rock Hard Ten,06-12-15,Northlands Park,"$50,000",John Patrick H.,,92,117.1,,,,
Capar Girl,Munnings,06-12-15,Penn National,"$75,000",New Start S.,,90,114.8,,,,
Noble Bird,Birdstone,06-13-15,Churchill Downs,"$500,000",Stephen Foster H.,1,109,124,,,,
Beholder,Henny Hughes,06-13-15,Santa Anita Park,"$100,000",Adoration S.,3,102,122.6,,,,
Frivolous,Empire Maker,06-13-15,Churchill Downs,"$200,000",Fleur de Lis H.,2,102,123.4,,,,
Talco (FR),Pivotal (GB),06-13-15,Santa Anita Park,"$400,000",Shoemaker Mile S.,1,101,120.6,,,,
Killin Me Smalls,Marcavelly,06-13-15,Northlands Park,"$50,000",Spangled Jimmy H.,,100,121.2,,,,
Seffeara,Old Forester,06-13-15,Woodbine,"$125,000",Bold Ruckus S.,,96,117.8,,,,
King Kreesa,King Cugat,06-13-15,Belmont Park,"$300,000",Poker S.,3,96,119.9,,,,
Sumting Wong,Pikepass,06-13-15,Prairie Meadows,"$75,000",Hawkeyes H.,,94,119.9,,,,
Excessive,Zanjero,06-13-15,Prairie Meadows,"$75,000",Cyclones H.,,93,116.8,,,,
Island Town,Hard Spun,06-13-15,Churchill Downs,"$100,000",Matt Winn S.,3,93,118.8,,,,
Ol Winedrinker Who,Sligo Bay (IRE),06-13-15,Albuquerque,"$150,000",Downs At Albuquerque H.,,92,120.4,,,,
Magical Twist,Oliver's Twist,06-13-15,Arapahoe Park,"$40,000",Aspen S.,,91,116.9,,,,
Checkered Past,Smart Strike,06-13-15,Woodbine,"$100,000",Trillium S.,,91,117,,,,
Prado's Sweet Ride,Fort Prado,06-13-15,Churchill Downs,"$100,000",Regret S.,3,86,116.5,,,,
Rock Me Baby,Rock Hard Ten,06-13-15,Golden Gate Fields,"$50,000",Albany S.,,85,117.6,,,,
Westminister Road,Quality Road,06-13-15,Gulfstream Park,"$60,000",Miss Patti H.,,84,116,,,,
Lady Jila,Jila (IRE),06-14-15,Arapahoe Park,"$40,000",Molly Brown S.,,100,117.8,,,,
Stryker Phd,Bertrando,06-14-15,Emerald Downs,"$50,000",Budweiser H.,,98,119.2,,,,
Academic,Henny Hughes,06-14-15,Woodbine,"$500,000",Woodbine Oaks,,95,117.4,,,,
Mississippi Delta,Giant's Causeway,06-14-15,Woodbine,"$100,000",Alywow S.,,94,118.2,,,,
Amaranth,Mr. Greeley,06-14-15,Santa Anita Park,"$75,000",Desert Stormer S.,,92,119.9,,,,
Jac's Fact,Kentucky Dane,06-14-15,Belterra Park,"$75,000",Sydney Gendelman Memorial H.,,91,118.2,,,,
Celestine,Scat Daddy,06-14-15,Belmont Park,"$100,000",Wild Applause S.,,91,118,,,,
Danish Dynaformer,Dynaformer,06-14-15,Woodbine,"$150,000",Plate Trial S.,,90,116.2,,,,
Fast Flying Rumor,West Acre,06-14-15,Monmouth Park,"$60,000",Select S.,,90,116.8,,,,
Cactus Kris,Cactus Ridge,06-14-15,Presque Isle Downs,"$100,000",Satin and Lace S.,,89,117.9,,,,
That's Who,Quinton's Gold,06-14-15,Albuquerque,"$60,000",University Of New Mexico H.,,85,114.6,,,,
Dazzled Saint,Saint Afleet,06-15-15,Presque Isle Downs,"$100,000",Karl Boyes Memorial S.,,91,118.7,,,,
Eustacia,Forestry,06-19-15,Northlands Park,"$50,000",R. K. (Red) Smith H.,,84,116.3,,,,
Mr. Z,Malibu Moon,06-20-15,Thistledown,"$500,000",Ohio Derby,,105,119.2,,,,
Dame Dorothy,Bernardini,06-20-15,Belmont Park,"$150,000",Bed o' Roses H.,3,101,121.3,,,,
A. P. Indian,Indian Charlie,06-20-15,Parx Racing,"$100,000",Donald LeVine Memorial H.,,98,121.9,,,,
Donworth,Tiznow,06-20-15,Delaware Park,"$50,000",Stanton S.,,97,119.5,,,,
Little Alexis,Mr. Greeley,06-20-15,Gulfstream Park,"$60,000",Barely Even H.,,96,119.3,,,,
Blues Blaster,Redattore (BRZ),06-20-15,Pleasanton,"$50,000",Oak Tree H.,,95,119.2,,,,
Keep Crossing,Istan,06-20-15,Monmouth Park,"$70,000",Red Cross S.,,94,119,,,,
Fioretti,Bernardini,06-20-15,Churchill Downs,"$70,000",Roxelana S.,,93,118.3,,,,
Soul Driver,Street Boss,06-20-15,Santa Anita Park,"$75,000",Singletary S.,,93,119.1,,,,
Stellar Wind,Curlin,06-20-15,Santa Anita Park,"$200,000",Summertime Oaks,2,93,118.8,,,,
Blue Dancer,Bluegrass Cat,06-20-15,Northlands Park,"$50,000",Ky Alta H.,,90,116.7,,,,
My Point Exactly,Concord Point,06-20-15,Gulfstream Park,"$60,000",King Cugat H.,,86,115.1,,,,
Luna Time,Malibu Moon,06-20-15,Delaware Park,"$100,000",Obeah S.,3,86,119.3,,,,
Hollywood Hideaway,Zensational,06-20-15,Woodbine,"$125,000",Victoria S.,,85,116.6,,,,
Expect Royalty,Valid Expectations,06-20-15,Lone Star Park,"$50,000",Lane's End Stallion Scholarship S.,,84,116.4,,,,
Diabolical King,Diabolical,06-20-15,Ruidoso Downs,"$175,000",Mountain Top New Mexico Bred Thoroughbred Futurity,,81,116.7,,,,
Pricelesscommodity,Midnight Lute,06-21-15,Canterbury Park,"$75,000",Dark Star S.,,109,120.8,,,,
Mr. Jordan,Kantharos,06-21-15,Monmouth Park,"$150,000",Pegasus S.,3,102,118.5,,,,
Tower of Texas,Street Sense,06-21-15,Woodbine,"$200,000",King Edward S.,2,99,118.8,,,,
Saucy Don,Don Six,06-21-15,Monmouth Park,"$60,000",Dan Horn H.,,93,117.9,,,,
Found Money,Square Eddie,06-21-15,Santa Anita Park,"$125,000",Santa Anita Juvenile S.,,89,118.6,,,,
America Mon Amie,All American (AUS),06-21-15,Canterbury Park,"$75,000",Northbound Pride Oaks,,88,115.3,,,,
Windy Forecast,Stormy Atlantic,06-21-15,Pleasanton,"$50,000",Pleasanton Oaks,,88,116.1,,,,
Possessed,Posse,06-21-15,Belmont Park,"$100,000",New York Stallion S.,,85,117.9,,,,
Thetrailerguy,Henny Hughes,06-21-15,Emerald Downs,"$50,000",Coca-Cola H.,,84,115.2,,,,
Dreamboat Annie,Freud,06-21-15,Belmont Park,"$100,000",New York Stallion S.,,84,118.1,,,,
Right There,Eskendereya,06-21-15,Santa Anita Park,"$125,000",Landaluce S.,,79,119.7,,,,
Delaunay,Smoke Glacken,06-26-15,Prairie Meadows,"$125,000",Iowa Sprint H.,,102,120.8,,,,
Ghost Locket,Ghostzapper,06-26-15,Prairie Meadows,"$100,000",Saylorville S.,,98,119.3,,,,
Diva's Diamond,Crafty Shaw,06-26-15,Prairie Meadows,"$100,000",Iowa Distaff S.,,94,117.3,,,,
Masochistic,Sought After,06-27-15,Santa Anita Park,"$300,000",Triple Bend S.,1,110,123,,,,
Golden Lad,Medaglia d'Oro,06-27-15,Prairie Meadows,"$300,000",Prairie Meadows Cornhusker H.,3,109,122.6,,,,
Bent On Bourbon,Arch,06-27-15,Prairie Meadows,"$250,000",Iowa Derby,3,101,119.4,,,,
Edge of Reality,Lawyer Ron,06-27-15,Parx Racing,"$75,000",Turning for Home S.,,100,120.5,,,,
Viva Majorca,Tiago,06-27-15,Churchill Downs,"$70,000",Kelly's Landing S.,,99,120.2,,,,
I'm Already Sexy,Ready's Image,06-27-15,Monmouth Park,"$100,000",Eatontown S.,3,97,119.4,,,,
Hard Aces,Hard Spun,06-27-15,Santa Anita Park,"$500,000",Gold Cup at Santa Anita S.,1,97,123.1,,,,
Sarah Sis,Sharp Humor,06-27-15,Prairie Meadows,"$200,000",Iowa Oaks,3,95,119.3,,,,
Prize Exhibit (GB),Showcasing (GB),06-27-15,Santa Anita Park,"$100,000",Senorita S.,3,95,118.1,,,,
Surtsey,Heatseeker (IRE),06-27-15,Woodbine,"$100,000",Zadracarta S.,,95,119.1,,,,
Fanticola,Silent Name (JPN),06-27-15,Santa Anita Park,"$200,000",Royal Heroine S.,2,93,119.2,,,,
Departing,War Front,06-27-15,Churchill Downs,"$200,000",Firecracker S.,2,92,118.9,,,,
Bold Cait,Sun King,06-27-15,Thistledown,"$75,000",J. William Petro Memorial H.,,90,118.4,,,,
Include Betty,Include,06-27-15,Belmont Park,"$300,000",Mother Goose S.,1,90,120.5,,,,
He's Comin in Hot,Early Flyer,06-27-15,Churchill Downs,"$100,000",Bashford Manor S.,3,86,117.7,,,,
Tribal Gal,Tribal Rule,06-27-15,Pleasanton,"$100,000",Oak Tree Distaff S.,,85,115.6,,,,
Ebo,Grand Minstrel,06-27-15,Arapahoe Park,"$40,000",CTBA Derby,,83,112.6,,,,
Cosmic Evolution,Proud Citizen,06-27-15,Churchill Downs,"$100,000",Debutante S.,,78,116.2,,,,
Salutos Amigos,Salute the Sarge,06-28-15,Monmouth Park,"$75,000",Mr. Prospector S.,,105,120.8,,,,
La Verdad,Yes It's True,06-28-15,Belmont Park,"$100,000",Dancin Renee S.,,102,121.7,,,,
Lady Contender,Strong Contender,06-28-15,Arapahoe Park,"$40,000",Front Range S.,,96,118.4,,,,
Crucero,Admiral's Cruise,06-28-15,Santa Anita Park,"$150,000",San Juan Capistrano S.,3,94,118.4,,,,
Come to Mischief,Into Mischief,06-28-15,Woodbine,"$125,000",My Dear S.,,93,119.7,,,,
Belle Hill,Sky Mesa,06-28-15,Emerald Downs,"$50,000",Irish Day H.,,86,116.6,,,,
Red Rifle,Giant's Causeway,07-01-15,Woodbine,"$150,000",Dominion Day S.,3,100,120.2,,,,
